nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin
60 Premio Reina Sofía de Pintura y Escultura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=34c5130393e15910VgnVCM2000001f4a900aRCRD,28009,PASEO COLOMBIA 1,,Centro Cultural Casa de Vacas (Retiro),2025-02-27,2025-03-23
A toda vela,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-10-01,2025-06-01
Acompañamiento digital a personas mayores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,0,,,,2024-10-14,2025-06-30
Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-01-14,2025-06-17
Activas en compañía: gimnasia de mantenimiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f93102b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,12:00,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-13,2025-03-31
Actividades en el centro juvenil 'Carabanchel Alto'. Marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c98efeefeb4fd810VgnVCM1000001d4a900aRCRD,28044,CALLE ALFONSO FERNANDEZ 23,,Centro Juvenil Carabanchel Alto,2025-03-01,2025-03-31
Actividades en el centro juvenil 'Chamberí'. Marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=296728f1aa80e810VgnVCM2000001f4a900aRCRD,28003,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 2,,Centro Juvenil Chamberí,2025-03-01,2025-03-31
Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=185816ca7290e810VgnVCM2000001f4a900aRCRD,28031,CALLE ZAZUAR 1,,Centro Juvenil El Aleph (Villa de Vallecas),2025-03-01,2025-03-31
Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e90a16ca7290e810VgnVCM2000001f4a900aRCRD,28031,CALLE REAL DE ARGANDA 39,,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),2025-03-01,2025-03-31
Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5d416ca7290e810VgnVCM2000001f4a900aRCRD,28034,CALLE HONTALBILLA 10,,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),2025-03-01,2025-03-31
